gene symbol	percent_bases_covered at 30X
AKT3	100.0
CDH3	82.65851774891776
RNU4ATAC	100.0
GNE	100.0
ABCB6	100.0
ARPC1B	100.0
LPAR6	93.80816034359341
CDK4	100.0
ADAM10	100.0
RASGRP2	100.0
CDKN1C	93.20216529516995
BET1	100.0
CDKN2A	98.16052842809364
SPEG	100.0
ADAR	100.0
KLHL41	100.0
RXYLT1	100.0
TRDN	100.0
MICU1	100.0
CDSN	100.0
GPNMB	100.0
MAD2L2	100.0
FBLN5	100.0
CIB1	100.0
PROCR	100.0
AGPAT2	100.0
POMT1	100.0
EBP	100.0
CFL2	100.0
CTSC	100.0
WDR4	100.0
CFTR	100.0
GJB6	100.0
PDE10A	100.0
ST3GAL4	100.0
EDAR	100.0
SLC22A1	100.0
ASCC3	100.0
SLC27A4	100.0
SPINK5	100.0
B4GAT1	98.53352932960894
DNAJB4	100.0
ADAMTS13	99.18560848484849
ADCY5	98.06496521739132
GLMN	100.0
CORO1A	93.46576058546785
CHKB	100.0
CHEK2	100.0
HPS5	100.0
PRRT2	100.0
TREX1	95.3831
KRT71	100.0
LYST	100.0
CHST14	100.0
TMC6	100.0
NLRP3	100.0
ERCC8	100.0
AP1S1	100.0
ANTXR2	100.0
SDR9C7	100.0
KRT74	100.0
ADSS1	100.0
CCDC78	100.0
CYP4F22	100.0
CNTN1	100.0
GJB4	100.0
COL1A1	100.0
COL3A1	100.0
EDARADD	100.0
COL4A1	100.0
COL5A1	100.0
COL5A2	100.0
COL6A1	100.0
COL6A2	100.0
COL6A3	100.0
COL7A1	100.0
XIRP2	100.0
COL12A1	100.0
COL13A1	100.0
COL17A1	100.0
KLHL40	100.0
IL31RA	100.0
COX6A2	100.0
COX7B	100.0
MPLKIP	100.0
CPOX	100.0
ABCG8	100.0
CSNK1D	100.0
UNC45B	100.0
TMC8	100.0
KRT25	100.0
CCBE1	100.0
DSG4	100.0
APCDD1	93.38346947368422
CSTA	100.0
B3GALNT2	100.0
CTSB	100.0
ASPRV1	85.0215
CYBB	100.0
CYLD	100.0
AARS1	100.0
DAG1	100.0
SPRED1	100.0
TRPV3	100.0
DDB1	100.0
DDB2	100.0
DDX3X	87.3106058080808
DIAPH1	98.2862158913866
DKC1	100.0
DMD	100.0
DNM2	100.0
DNMT1	100.0
DSC2	100.0
DSC3	100.0
DSG1	100.0
DSP	100.0
DTNA	100.0
CFTR	100.0
ECM1	100.0
EDA	100.0
EDN3	100.0
EDNRB	100.0
EGFR	100.0
ANO6	100.0
PCSK9	100.0
ELN	99.34415990006246
LIPH	100.0
EMD	100.0
FLCN	100.0
UNC13D	99.95307329892069
NYNRIN	100.0
PRIMPOL	100.0
ENG	100.0
VMA21	100.0
CERS3	100.0
EPHB2	93.40369393139842
EPHB4	100.0
ERCC1	100.0
ERCC2	100.0
AKT1	100.0
ERCC3	100.0
ERCC4	100.0
ERCC5	100.0
ERCC6	100.0
AKT2	100.0
ALAD	100.0
MYLIP	100.0
ALAS2	100.0
ETV6	96.13662620380738
MECOM	100.0
F2	100.0
F2R	100.0
F3	100.0
F5	100.0
F7	100.0
F8	100.0
F9	100.0
F10	100.0
F11	100.0
F12	100.0
F13A1	100.0
F13B	100.0
FANCA	100.0
FANCC	100.0
FANCD2	100.0
FANCE	100.0
FANCB	100.0
FANCF	100.0
FANCG	100.0
COL6A1	100.0
FKTN	100.0
FDPS	100.0
FECH	100.0
ALDH3A2	100.0
FGA	100.0
FGB	100.0
FGFR3	97.98013596026492
FGG	100.0
FHL1	100.0
DOLK	100.0
ANKRD26	100.0
NLRP1	100.0
MORC2	100.0
FOXC2	100.0
EXPH5	100.0
FLG	97.90716508143323
FLI1	100.0
FLNA	100.0
FLNC	100.0
NBEAL2	100.0
FLT4	100.0
FMO3	100.0
SASH1	100.0
SYNE1	100.0
NCSTN	100.0
