gene_symbol	transcript	entrez_id	chr	start	stop	mean_coverage	completeness
PADI6	NM_207421.3	353238	1	17725172	17725353	104.497	96.6851
EPHB2	NM_017449.3	2048	1	23037321	23037546	15.2889	0.0
SELENON	NM_020451.2	57190	1	26126657	26126914	10.9222	13.6187
POMGNT1	NM_017739.3	55624	1	46663998	46664131	80.3383	92.4812
FLG	NM_002016.1	2312	1	152275165	152287233	331.304	97.8704
MSTO1	NM_018116.3	55154	1	155580820	155580909	24.1798	31.4607
MSTO1	NM_018116.3	55154	1	155581470	155581628	34.0633	41.7722
ASPRV1	NM_152792.2	151516	2	70187778	70189407	182.269	85.0215
ANAPC1	NM_022662.3	64682	2	112534426	112534644	38.9541	49.0826
ANAPC1	NM_022662.3	64682	2	112537866	112537972	43.1509	76.4151
ANAPC1	NM_022662.3	64682	2	112561015	112561117	28.7647	32.3529
ANAPC1	NM_022662.3	64682	2	112563369	112563480	62.8198	91.8919
ANAPC1	NM_022662.3	64682	2	112572937	112573228	9.2543	6.52921
NEB	NM_001271208.1	4703	2	152435842	152436173	62.5982	79.4562
NEB	NM_001271208.1	4703	2	152437301	152437428	0	0.0
NEB	NM_001271208.1	4703	2	152438968	152439191	0.170404	0.0
NEB	NM_001271208.1	4703	2	152439959	152440290	20.1843	28.3988
NEB	NM_001271208.1	4703	2	152442011	152442138	0	0.0
NEB	NM_001271208.1	4703	2	152442909	152443033	0	0.0
NEB	NM_001271208.1	4703	2	152443878	152444101	0	0.0
NEB	NM_001271208.1	4703	2	152446393	152446724	0	0.0
NEB	NM_001271208.1	4703	2	152449520	152449743	0.0269058	0.0
NEB	NM_001271208.1	4703	2	152450511	152450842	48.9456	54.3807
NEB	NM_001271208.1	4703	2	152452564	152452691	0	0.0
NEB	NM_001271208.1	4703	2	152453462	152453586	0	0.0
NEB	NM_001271208.1	4703	2	152454431	152454654	0	0.0
NEB	NM_001271208.1	4703	2	152456946	152457277	1.03021	0.0
NEB	NM_001271208.1	4703	2	152458405	152458532	0	0.0
NEB	NM_001271208.1	4703	2	152459091	152459215	66.8548	73.3871
NEB	NM_001271208.1	4703	2	152461064	152461395	38.3595	37.4622
NEB	NM_001271208.1	4703	2	152463110	152463237	1.51181	0.0
NEB	NM_001271208.1	4703	2	152464008	152464132	0	0.0
NEB	NM_001271208.1	4703	2	152464977	152465200	1.33632	0.0
ACVR1	NM_001111067.2	90	2	158732298	158732384	40.1163	69.7674
TTN	NM_001267550.1	7273	2	179523889	179523992	38.9903	71.8447
ECEL1	NM_004826.2	9427	2	233352419	233352542	51.3577	85.3659
TREX1	NM_016381.4	11277	3	48506909	48509010	211.175	95.3831
ADCY5	NM_183357.2	111	3	123166249	123167402	179.286	92.9748
FGFR3	NM_000142.4	2261	4	1795029	1795202	50.7919	69.9422
FGFR3	NM_000142.4	2261	4	1795550	1795780	98.8348	96.087
DIAPH1	NM_005219.4	1729	5	140953049	140953785	128.25	89.538
SH3PXD2B	NM_001017995.2	285590	5	171881272	171881537	59.9623	73.9623
ADAMTS2	NM_014244.4	9509	5	178772181	178772441	76.2731	95.0
TNXB	NM_019105.6	7148	6	32009538	32009721	56.4426	78.1421
TNXB	NM_019105.6	7148	6	32009779	32009960	8.47514	0.0
TNXB	NM_019105.6	7148	6	32010466	32010618	28.7237	34.2105
TNXB	NM_019105.6	7148	6	32010718	32010868	0	0.0
TNXB	NM_019105.6	7148	6	32010942	32011105	0	0.0
TNXB	NM_019105.6	7148	6	32011204	32011343	25.1799	34.5324
TNXB	NM_019105.6	7148	6	32012148	32012503	5.52958	0.0
ENPP1	NM_006208.2	5167	6	132129146	132129425	84.6165	70.2509
ELN	NM_000501.3	2006	7	73442109	73442609	141.428	95.8
CDKN2A	NM_058195.3	1029	9	21994128	21994500	172.997	97.043
DPM2	NM_003863.3	8818	9	130700087	130700773	85.879	53.9359
ADAMTS13	NM_139025.4	11093	9	136287110	136287678	175.276	92.4296
HRAS	NM_005343.2	3265	11	535406	535560	25.5	31.8182
CDKN1C	NM_001122630.1	1028	11	2905890	2906706	151.88	90.6863
PTPRJ	NM_002843.3	5795	11	48002100	48002570	59.0128	99.7872
B4GAT1	NM_006876.2	11041	11	66113951	66115171	241.809	98.2787
VWF	NM_000552.3	7450	12	6131896	6132074	23.9438	26.4045
ETV6	NM_001987.4	2120	12	11802778	11803104	104.475	78.8344
