gene_symbol	mean_coverage	average_completeness_at_30X	exon_count	total_length_bp
AAGAB	346.51	100.00	10	1254
AARS1	287.85	100.00	21	3438
ABCA12	341.91	100.00	53	9069
ABCB6	272.93	100.00	19	3227
ABCC6	224.13	100.00	31	5170
ABCD4	244.25	100.00	19	2354
ABCG5	307.26	100.00	13	2357
ABCG8	260.58	100.00	14	2384
ABHD5	318.12	100.00	7	1301
ACTA1	236.65	100.00	7	1380
ACTB	250.09	100.00	6	1333
ACTN1	228.30	100.00	22	3496
ACTN2	274.37	100.00	21	3326
ACVR1	321.58	98.68	11	2000
ACVRL1	222.78	100.00	10	1996
ADA2	274.32	100.00	9	1929
ADAM10	332.46	100.00	16	3012
ADAM17	348.42	100.00	19	3039
ADAMTS13	242.24	99.19	29	5309
ADAMTS2	245.34	99.69	22	4179
ADAR	276.20	100.00	15	4262
ADCY5	220.63	98.07	21	4207
ADSS1	241.03	100.00	13	1709
AGPAT2	201.44	100.00	6	1060
AIRE	216.27	100.00	14	2088
AKT1	250.54	100.00	14	2278
AKT2	234.19	100.00	14	2026
AKT3	389.86	100.00	13	1813
ALAD	253.00	100.00	12	1436
ALAS2	249.81	100.00	11	2123
ALDH3A2	327.06	100.00	10	1949
ALOX12B	239.67	100.00	15	2668
ALOXE3	250.65	100.00	16	2991
ANAPC1	273.17	93.06	48	7043
ANKRD26	396.34	100.00	34	5986
ANO6	347.38	100.00	20	3469
ANTXR2	315.05	100.00	17	2571
AP1S1	226.68	100.00	5	688
AP3B1	367.67	100.00	27	4002
AP3D1	249.74	100.00	32	4512
APC	351.88	100.00	16	8938
APCDD1	228.84	93.38	5	2000
APOB	308.07	100.00	30	14412
APOE	236.59	100.00	6	1140
AQP5	158.32	81.92	4	1401
ARPC1B	226.10	100.00	10	1440
ARSL	297.96	100.00	11	2241
ASCC1	325.83	100.00	10	1543
ASCC3	361.38	100.00	42	7779
ASPRV1	182.27	85.02	1	1630
ATAD1	333.82	100.00	10	1666
ATM	393.38	100.00	63	10817
ATP1A2	231.27	100.00	23	3656
ATP1A3	259.09	100.00	23	3703
ATP2A2	295.22	100.00	21	3978
ATP2C1	356.10	100.00	28	3591
ATP6V0A2	314.42	100.00	20	3220
ATP7A	339.10	100.00	23	5124
ATP7B	293.15	100.00	21	4976
ATR	391.08	100.00	47	8998
AXIN2	250.34	100.00	11	3042
B3GALNT2	306.91	100.00	12	1973
B4GAT1	242.14	98.53	2	1434
BAP1	246.27	100.00	17	2758
BET1	356.88	100.00	4	600
BIN1	219.25	100.00	19	2547
BLM	367.14	100.00	22	4792
BLOC1S3	207.69	100.00	2	746
BLOC1S5	326.35	100.00	5	703
BLOC1S6	302.83	100.00	5	845
BMPR1A	367.35	100.00	13	2408
BRAF	352.13	100.00	18	2723
BRCA1	334.23	100.00	23	6285
BRCA2	418.34	100.00	27	11025
BRIP1	397.99	100.00	20	4457
C3orf52	294.46	100.00	4	907
CACNA1A	239.51	100.00	47	7963
CACNA1H	209.86	97.39	35	8011
CACNA1S	234.08	100.00	44	6730
CACNB4	303.51	100.00	14	1912
CARD11	240.22	100.00	25	4300
CARD14	250.62	100.00	21	3604
CARD9	245.50	100.00	13	2038
CARS1	275.82	100.00	23	3041
CASP14	261.86	100.00	7	1082
CAST	341.25	100.00	29	3054
CAVIN1	257.96	100.00	2	1437
CBL	310.62	100.00	16	3184
CCBE1	278.73	100.00	11	1512
CCDC78	272.06	100.00	14	1704
CCND2	231.22	100.00	5	1276
CD151	205.35	100.00	9	1087
CDC42	345.20	100.00	6	863
CDH1	312.97	100.00	16	3094
CDH3	199.06	82.71	16	3943
CDK4	259.67	100.00	8	1365
CDKN1C	171.37	93.21	3	1121
CDKN2A	201.05	98.16	2	600
CDSN	261.75	100.00	2	1687
CERS3	323.84	100.00	13	1837
CFL2	317.87	100.00	4	865
CFTR	367.85	100.00	33	5185
CHEK2	327.99	100.00	15	2005
CHKB	247.86	100.00	11	1627
CHST14	218.40	100.00	1	1405
CHTF18	241.10	100.00	22	3432
CIAO1	260.23	100.00	7	1366
CIB1	253.04	100.00	7	879
CLDN1	290.62	100.00	4	957
CNTN1	323.05	100.00	24	3765
COL12A1	323.30	100.00	66	10679
COL13A1	242.58	100.00	40	3491
COL17A1	255.79	100.00	56	5784
COL1A1	236.79	100.00	51	5542
COL25A1	304.35	100.00	38	3257
COL3A1	332.60	100.00	51	5539
COL4A1	288.00	100.00	52	6173
COL5A1	226.17	100.00	66	7221
COL5A2	331.24	100.00	54	5856
COL6A1	238.99	100.00	36	3901
COL6A2	237.67	100.00	28	3703
COL6A3	280.12	100.00	44	10700
COL7A1	238.38	100.00	118	11197
CORO1A	217.48	93.45	11	1924
COX6A2	195.96	100.00	3	458
COX7B	381.57	100.00	3	394
CPOX	283.66	100.00	7	1613
CRPPA	331.52	100.00	10	1557
CSNK1D	238.44	100.00	9	1766
CSTA	325.91	100.00	3	487
CTSB	238.73	100.00	10	1383
CTSC	295.50	100.00	7	1634
CYBB	297.46	100.00	13	2035
CYCS	329.05	100.00	3	549
CYLD	372.61	100.00	20	3687
CYP4F22	264.42	100.00	14	2044
DAG1	233.49	100.00	6	3588
DCLRE1C	347.03	100.00	14	2445
DDB1	284.73	100.00	27	4208
DDB2	273.59	100.00	10	1680
DDX3X	292.31	87.36	17	3185
DHX16	275.45	100.00	20	3739
DIAPH1	276.87	98.29	28	4521
DKC1	318.82	100.00	15	2056
DMD	359.91	99.92	100	13114
DNAJB4	367.74	100.00	3	1234
DNM2	235.99	100.00	21	3224
DNMT1	274.00	100.00	41	5900
DOCK8	303.56	100.00	48	7373
DOK7	223.21	100.00	7	1726
DOLK	245.75	100.00	1	2068
DPM1	389.72	100.00	9	964
DPM2	140.04	68.35	4	1000
DPM3	286.80	100.00	2	355
DSC2	347.20	100.00	16	3481
DSC3	369.20	100.00	16	3167
DSG1	330.97	100.00	15	3663
DSG4	314.67	100.00	15	3616
DSP	300.09	100.00	24	9376
DST	353.65	100.00	24	8539
DTNA	313.09	100.00	21	2654
DTNBP1	308.58	100.00	10	1446
DYSF	245.54	100.00	56	7622
EBP	301.34	100.00	5	999
ECEL1	207.14	99.37	18	2894
ECM1	243.55	100.00	10	2104
EDA	250.58	100.00	8	1579
EDAR	256.67	100.00	12	2019
EDARADD	332.90	100.00	6	834
EDN3	244.69	100.00	5	1187
EDNRB	286.49	100.00	8	1913
EFEMP2	229.12	100.00	11	1812
EGFR	277.61	100.00	28	4440
ELN	242.83	99.35	33	3235
ELOVL1	233.98	100.00	8	1175
ELOVL4	352.72	100.00	6	1385
EMD	234.35	100.00	6	1134
ENG	236.37	100.00	15	2696
ENPP1	332.99	97.48	25	3299
EPCAM	388.45	100.00	9	1484
EPG5	314.51	100.00	44	8721
EPHB2	224.85	93.41	16	3427
EPHB4	243.20	100.00	17	3796
ERCC1	250.32	100.00	10	1241
ERCC2	253.81	100.00	23	2791
ERCC3	281.47	100.00	15	2745
ERCC4	342.61	100.00	11	2981
ERCC5	310.54	100.00	15	4288
ERCC6	326.96	100.00	21	5079
ERCC8	358.98	100.00	12	1502
ETV6	238.17	96.14	8	1794
EXPH5	324.20	100.00	6	6202
F10	288.79	100.00	8	1685
F11	364.26	100.00	15	2512
F12	259.91	100.00	14	2178
F13A1	312.55	100.00	15	2623
F13B	381.03	100.00	12	2271
F2	260.43	100.00	14	2193
F2R	291.51	100.00	2	1584
F3	312.78	100.00	6	1230
F5	331.64	100.00	25	7321
F7	258.44	100.00	9	1636
F8	344.70	100.00	26	7748
F9	354.16	100.00	8	1576
FAM111B	362.96	100.00	4	2529
FANCA	293.08	100.00	43	5271
FANCB	383.86	100.00	10	3049
FANCC	308.10	100.00	15	2240
FANCD2	344.83	100.00	44	5315
FANCE	238.46	100.00	10	1997
FANCF	277.07	100.00	1	1177
FANCG	253.85	100.00	14	2642
FANCI	334.72	100.00	38	4838
FANCL	382.36	100.00	14	1476
FANCM	392.18	100.00	23	6707
FBLN5	259.55	100.00	11	2041
FDPS	247.65	100.00	11	1645
FECH	279.49	100.00	11	1628
FERMT1	278.33	92.05	15	3124
FERMT3	239.24	100.00	15	2442
FGA	295.17	100.00	6	2780
FGB	344.92	100.00	8	1676
FGF23	233.89	100.00	3	963
FGFR3	221.65	97.98	18	3038
FGG	368.69	100.00	9	1684
FHL1	285.99	100.00	6	1229
FKBP14	351.29	100.00	4	1010
FKRP	251.03	100.00	4	1866
FKTN	376.92	100.00	11	1823
FLCN	273.61	100.00	14	2525
FLG	332.63	97.91	3	12283
FLG2	305.53	100.00	3	7310
FLI1	247.76	100.00	9	1883
FLNA	258.92	100.00	48	9154
FLNC	246.93	100.00	48	9348
FLT4	235.15	100.00	30	4772
FMO3	314.12	100.00	9	1891
FOXC2	181.88	100.00	1	1612
FXR1	352.85	100.00	17	2447
FYB1	337.80	100.00	19	3034
GALE	237.40	100.00	12	1457
GALNT3	343.30	100.00	11	2510
GATA1	215.97	100.00	6	1454
GBA1	237.26	100.00	11	1998
GBE1	322.41	100.00	16	2712
GFER	220.29	100.00	3	749
GFI1B	260.77	100.00	7	1285
GGCX	284.80	100.00	15	2684
GGPS1	343.58	100.00	4	1068
GJA1	308.08	100.00	2	1440
GJB2	277.66	100.00	2	937
GJB3	252.83	100.00	2	1469
GJB4	262.01	100.00	2	1212
GJB6	276.98	100.00	5	1508
GLMN	413.87	100.00	19	2281
GLRA1	258.22	100.00	9	1842
GLRB	330.45	100.00	10	1897
GMPPB	251.86	100.00	8	1573
GNE	325.51	100.00	12	2631
GOLGA2	229.67	100.00	26	3543
GOSR2	273.03	100.00	6	833
GP1BA	231.29	99.18	2	2075
GP1BB	145.13	100.00	2	689
GP6	291.17	100.00	8	2052
GP9	260.92	100.00	3	782
GPNMB	324.36	100.00	11	2065
GREM1	271.41	100.00	2	755
GRHL2	294.44	100.00	16	2529
GTF2E1	289.07	100.00	5	1535
GTF2E2	324.91	100.00	8	1290
GTF2H5	316.23	100.00	3	360
HACD1	346.56	100.00	7	1043
HAVCR2	266.08	100.00	7	1301
HCCS	324.40	100.00	7	1223
HFE	197.40	100.00	1	11
HLA-DRA	285.30	100.00	4	955
HMBS	275.90	100.00	14	1524
HNRNPA1	298.40	100.00	10	1424
HNRNPA2B1	371.53	100.00	10	1443
HOXA11	251.19	100.00	2	1055
HOXC13	199.23	100.00	2	1149
HPGD	321.75	100.00	6	1262
HPS1	250.85	100.00	20	2750
HPS3	338.28	100.00	17	3496
HPS4	297.33	100.00	14	3076
HPS5	341.73	100.00	23	4129
HPS6	242.49	100.00	1	2457
HR	250.68	100.00	19	4616
HRAS	209.71	87.70	5	859
HRG	288.38	100.00	7	1742
IKBKG	75.61	36.95	10	1685
IKZF5	354.26	100.00	5	1671
IL1RN	231.10	100.00	6	790
IL31RA	322.40	100.00	15	2788
IL36RN	252.29	100.00	5	730
IL7	346.33	100.00	6	1256
INPP5K	248.22	100.00	12	1977
ITGA2B	253.02	100.00	30	3753
ITGA3	237.61	100.00	25	4121
ITGA6	349.05	100.00	25	3980
ITGA7	239.95	100.00	25	4135
ITGB3	258.63	100.00	15	2688
ITGB4	245.61	100.00	40	6457
JAG2	225.98	92.29	26	4642
JUP	245.29	100.00	14	2652
KANK2	246.69	100.00	13	3178
KBTBD13	243.25	100.00	1	1398
KCNA1	246.09	100.00	2	2634
KCNK18	256.41	100.00	3	1215
KCNMA1	282.49	100.00	28	4449
KCNQ2	228.64	97.96	17	3137
KDSR	303.70	100.00	10	1355
KIT	319.35	100.00	21	3427
KITLG	340.72	100.00	9	1198
KLHL24	339.45	100.00	8	2259
KLHL40	249.24	100.00	6	2087
KLHL41	356.53	100.00	6	2019
KLKB1	370.86	100.00	15	2289
KNG1	343.68	100.00	10	2370
KRAS	349.25	100.00	5	852
KREMEN1	254.60	96.13	9	1611
KRIT1	410.24	100.00	20	3396
KRT1	264.69	100.00	9	2175
KRT10	273.94	100.00	8	1942
KRT14	258.56	100.00	8	1641
KRT16	260.66	100.00	8	1722
KRT17	246.07	100.00	8	1581
KRT2	257.76	100.00	9	2134
KRT25	304.03	100.00	8	1575
KRT5	267.21	100.00	9	2117
KRT6A	300.88	100.00	9	2085
KRT6B	302.84	100.00	9	1924
KRT6C	284.82	100.00	9	1924
KRT71	247.32	100.00	9	1823
KRT74	258.96	100.00	9	1819
KRT81	200.08	78.15	9	1749
KRT83	274.70	100.00	9	1726
KRT85	265.41	100.00	9	1825
KRT9	208.52	96.87	7	2079
KY	247.56	100.00	11	2269
LAMA2	323.73	100.00	65	10775
LAMA3	316.20	100.00	113	17550
LAMB3	255.12	100.00	22	4350
LAMC2	265.74	100.00	23	4357
LAMP2	355.57	100.00	9	1594
LARGE1	267.04	100.00	16	3171
LDLR	282.66	100.00	19	3142
LDLRAP1	244.80	100.00	9	1222
LEMD3	346.81	100.00	13	3023
LETM1	239.19	100.00	14	2798
LIPH	314.34	100.00	10	1667
LIPN	316.96	100.00	9	1377
LMAN1	392.21	100.00	13	1826
LMNA	257.14	100.00	12	2485
LMOD3	347.37	100.00	3	1953
LORICRIN	220.56	100.00	2	1034
LPAR6	325.96	93.79	7	2801
LSS	252.42	100.00	22	2719
LTV1	352.14	100.00	11	1756
LYST	352.66	100.00	53	12649
LZTR1	256.27	100.00	21	3047
MAD2L2	208.88	100.00	9	1005
MAP2K1	273.54	100.00	11	1878
MAP2K2	209.35	99.88	11	1678
MAP3K20	316.42	100.00	20	3004
MARS1	303.20	100.00	21	3262
MBD4	329.22	100.00	8	2232
MBTPS2	349.22	100.00	11	1978
MCFD2	281.31	100.00	4	674
MECOM	312.26	100.00	17	4464
MEGF10	287.38	100.00	26	4306
MICU1	322.51	100.00	13	1881
MITF	319.96	100.00	10	1927
MLH1	320.65	100.00	19	2850
MLIP	326.80	100.00	13	1751
MLPH	254.50	100.00	16	2367
MOG	264.37	100.00	8	1134
MORC2	283.66	100.00	27	4818
MPDU1	248.96	100.00	7	1101
MPIG6B	226.36	100.00	6	887
MPL	249.85	100.00	12	2194
MPLKIP	302.33	100.00	2	666
MRE11	368.72	100.00	20	2717
MRTFA	238.69	100.00	15	3689
MSH2	409.69	100.00	16	3251
MSH3	390.86	100.00	24	3975
MSH6	327.05	100.00	10	4436
MSMO1	392.65	100.00	6	1133
MST1	231.09	100.00	18	2611
MSTO1	174.00	92.56	14	2073
MSX1	198.66	100.00	2	1188
MTM1	347.52	100.00	15	2189
MTMR1	307.45	95.18	15	2434
MTMR14	261.46	100.00	19	2485
MTOR	280.73	100.00	58	8932
MUTYH	270.22	100.00	16	2187
MVD	254.17	100.00	10	1411
MVK	247.56	100.00	11	1596
MYBPC1	333.73	100.00	31	4277
MYBPC3	236.75	100.00	34	4561
MYF5	255.10	100.00	3	964
MYH2	336.99	100.00	40	6755
MYH3	306.85	100.00	41	6732
MYH7	235.68	100.00	39	6691
MYH8	333.70	100.00	40	6710
MYH9	251.61	100.00	41	6935
MYL1	305.01	100.00	6	835
MYL2	264.02	100.00	7	713
MYLIP	245.50	100.00	1	11
MYMK	241.69	100.00	5	869
MYO18B	239.82	100.00	43	8815
MYO5A	325.51	98.91	41	6633
MYOD1	201.05	100.00	3	1244
MYPN	305.06	100.00	20	4656
NAXD	290.47	100.00	10	1333
NBEAL2	239.69	100.00	54	9525
NBN	399.68	100.00	16	2696
NCSTN	267.09	100.00	17	2595
NDUFB11	258.29	100.00	3	1054
NEB	287.37	88.16	183	29547
NECTIN1	235.73	100.00	6	1847
NECTIN4	232.70	100.00	9	2013
NEDD4	368.78	100.00	29	3366
NEFL	261.79	100.00	4	2068
NF1	355.69	99.96	58	10064
NF2	274.22	100.00	16	2537
NFKB2	222.24	100.00	23	3431
NFKBIA	247.42	100.00	6	1185
NIPAL4	247.27	100.00	6	1638
NLRP1	253.08	100.00	17	5318
NLRP2	285.97	100.00	13	3592
NLRP3	267.16	100.00	9	4038
NOD2	259.14	100.00	12	3469
NOTCH3	235.86	100.00	33	7703
NRAS	263.07	100.00	5	925
NSDHL	265.29	100.00	8	1477
NSUN2	295.18	100.00	19	3066
NTHL1	255.22	100.00	6	1079
NYNRIN	219.20	100.00	1	11
OCA2	284.07	100.00	24	3108
ORAI1	211.17	100.00	2	1146
OSMR	329.92	100.00	18	3703
P2RX1	233.50	100.00	12	1882
P2RY12	350.35	100.00	3	1390
PADI6	232.43	99.75	16	2407
PALB2	361.59	100.00	13	4022
PAX3	271.03	100.00	10	2100
PAX7	232.30	100.00	8	2322
PCSK9	264.79	100.00	13	2693
PDE10A	320.45	100.00	22	2898
PDE2A	226.86	100.00	31	3693
PDGFRB	246.03	100.00	23	4251
PERP	232.23	100.00	3	826
PEX7	336.94	100.00	10	1275
PHF6	383.22	100.00	10	1501
PHYH	332.56	100.00	9	1286
PIEZO2	308.84	100.00	52	9474
PIGA	330.38	100.00	6	1692
PIGL	285.92	100.00	7	932
PIK3CA	367.30	100.00	21	3785
PIK3R2	225.78	100.00	16	3048
PKP1	247.14	100.00	14	2776
PLA2G4A	353.58	100.00	18	2816
PLAT	270.18	100.00	14	2179
PLAU	246.52	100.00	11	1663
PLEC	259.09	100.00	97	43715
PLG	284.95	100.00	19	2926
PLOD3	228.88	100.00	19	3054
PMS2	372.06	100.00	15	2977
PNKD	222.55	100.00	10	1503
PNPLA1	251.18	100.00	8	1760
POFUT1	259.46	100.00	7	1357
POGLUT1	310.52	100.00	11	1484
POLD1	228.95	100.00	27	3934
POLE	281.27	100.00	49	7886
POLH	344.74	100.00	11	2667
POMGNT1	239.24	99.61	22	2588
POMGNT2	241.20	100.00	2	2137
POMK	283.00	100.00	5	1421
POMP	365.02	100.00	6	728
POMT1	277.34	100.00	20	2847
POMT2	265.48	100.00	21	2875
PORCN	233.17	100.00	14	1704
PPA2	366.47	100.00	12	1266
PPOX	250.84	100.00	13	1985
PPP1CB	340.23	100.00	8	1510
PRIMPOL	363.46	100.00	14	2397
PRKAR1A	343.76	100.00	11	1543
PRKD1	316.13	100.00	18	3281
PROC	267.48	100.00	9	1661
PROCR	273.68	100.00	4	1016
PROS1	381.85	100.00	15	2673
PROZ	273.12	100.00	8	1371
PRRT2	194.70	100.00	4	1405
PSEN1	340.98	100.00	12	1929
PSENEN	238.93	100.00	4	569
PSRC1	337.10	100.00	1	11
PTEN	323.80	100.00	9	2425
PTGS1	249.60	100.00	11	2101
PTPN11	329.27	100.00	15	2463
PTPRJ	289.21	99.98	25	4870
PYROXD1	357.59	100.00	12	1871
RAB27A	335.55	100.00	6	1039
RAD51	318.73	100.00	10	1520
RAD51C	371.60	100.00	9	1383
RAD51D	274.62	100.00	10	1444
RAF1	300.06	100.00	17	2703
RAG1	283.81	100.00	2	3297
RAG2	330.07	100.00	3	2239
RASA1	351.55	100.00	25	3844
RASGRP2	238.53	100.00	16	2378
RBM8A	280.37	100.00	6	756
RECQL4	251.85	100.00	21	4091
RFC1	363.22	100.00	25	4085
RFC2	300.60	100.00	11	1361
RFC3	323.04	100.00	9	1362
RFC4	356.40	100.00	11	1536
RFC5	315.18	100.00	11	1371
RFWD3	298.43	100.00	13	2684
RGS2	338.41	100.00	5	770
RHBDF2	244.21	100.00	19	3246
RHOH	284.59	100.00	3	1361
RIPK4	273.32	100.00	8	2564
RIT1	311.42	100.00	6	862
RMRP	242.96	100.00	1	288
RNF113A	282.24	100.00	1	1268
RNF43	286.54	100.00	10	3492
RNU12	294.54	100.00	1	169
RNU4ATAC	316.52	100.00	1	150
RSPO1	239.30	100.00	8	1845
RSPO4	217.35	100.00	5	906
RUNX1	272.14	100.00	9	1814
RXYLT1	392.24	100.00	6	1611
RYR1	234.08	99.27	106	17368
RYR3	281.50	100.00	104	16764
SAMD9	362.12	100.00	3	5101
SAMHD1	356.78	100.00	16	2402
SASH1	254.80	100.00	20	4620
SCG5	310.36	100.00	6	877
SCN1A	329.95	100.00	26	6536
SCN4A	230.54	100.00	24	6069
SCN8A	291.99	100.00	27	6662
SCN9A	353.67	100.00	27	6816
SDR9C7	246.74	100.00	4	1167
SELENON	222.02	89.33	13	2089
SERPINB7	341.46	100.00	8	1664
SERPINB8	319.12	100.00	7	1435
SERPINC1	289.79	100.00	7	1655
SERPIND1	276.34	100.00	5	1668
SERPINE1	247.49	100.00	9	1547
SERPINF2	260.41	100.00	10	1754
SH3PXD2B	233.37	97.81	13	3168
SHOC2	358.22	100.00	8	2144
SIL1	258.12	100.00	10	1705
SLC1A3	312.28	100.00	10	2306
SLC22A1	248.90	100.00	1	11
SLC24A5	350.14	100.00	9	1757
SLC25A4	239.95	100.00	4	1088
SLC25A42	229.24	100.00	8	1274
SLC27A4	255.47	100.00	13	2478
SLC29A3	243.35	100.00	6	1606
SLC2A1	246.42	100.00	10	2205
SLC39A4	229.42	100.00	12	2291
SLC39A7	251.04	100.00	7	1971
SLC45A2	287.96	100.00	7	1826
SLC6A5	260.94	100.00	16	2988
SLCO2A1	266.34	100.00	14	2487
SLFN14	321.67	100.00	4	2849
SLURP1	248.39	100.00	3	399
SLX4	273.23	100.00	15	6433
SMAD4	354.27	100.00	12	2438
SMARCAD1	389.84	100.00	24	3837
SMARCAL1	299.99	100.00	18	3556
SNAI2	327.85	100.00	3	1043
SNAP29	292.54	100.00	5	985
SNRPE	333.25	100.00	5	428
